SpatialDim,ParentLocation,TimeDim,PM25_mean,PM25_lower_CI,PM25_upper_CI
202,,2010,31.79272,24.56158,41.63795
202,,2011,32.11836,24.84744,42.02667
202,,2012,32.52763,25.17765,42.60997
202,,2013,31.71878,24.43323,41.38021
202,,2014,32.01954,24.71232,41.8947
202,,2015,33.62414,26.02509,43.99263
202,,2016,33.60248,25.9319,43.93473
202,,2017,33.39716,25.83645,43.70604
202,,2018,33.14215,25.6133,43.24276
202,,2019,32.69679,25.12191,42.47457
419,,2010,17.97146,16.71219,19.09285
419,,2011,18.35907,17.36523,19.42948
419,,2012,17.7784,16.59584,18.68428
419,,2013,18.01339,16.97718,19.15099
419,,2014,17.57599,16.61323,18.46667
419,,2015,17.25153,16.16178,18.20798
419,,2016,16.95964,16.05439,18.09782
419,,2017,17.36015,16.34587,18.55757
419,,2018,15.45388,14.60837,16.38204
419,,2019,14.9579,14.04134,15.9998
513,,2010,13.69349,13.21027,14.20196
513,,2011,13.6621,13.22202,14.11614
513,,2012,12.64094,12.27399,13.00531
513,,2013,12.29875,11.89401,12.73069
513,,2014,11.97128,11.55353,12.44834
513,,2015,11.63735,11.30641,12.05762
513,,2016,10.70538,10.37504,11.07562
513,,2017,10.84737,10.53511,11.23554
513,,2018,11.13306,10.82508,11.47686
513,,2019,10.04155,9.71614,10.38357
53,,2010,9.08553,8.20803,9.96028
53,,2011,8.15176,7.36955,8.76504
53,,2012,7.37259,6.93893,7.84186
53,,2013,7.29631,6.93373,7.61962
53,,2014,6.95679,6.65374,7.19512
53,,2015,6.65513,6.38013,6.93692
53,,2016,6.70996,6.4216,7.00485
53,,2017,6.92783,6.60128,7.26086
53,,2018,7.16285,6.762,7.56213
53,,2019,8.88227,8.57049,9.20649
543,,2010,8.31275,3.21316,17.55835
543,,2011,8.03704,3.26408,18.06838
543,,2012,8.1255,3.23345,18.30424
543,,2013,8.14817,3.09618,18.13859
543,,2014,8.15123,3.27495,17.80158
543,,2015,8.6194,3.58258,18.32838
543,,2016,8.42052,3.44882,18.14097
543,,2017,8.56436,3.45548,18.12342
543,,2018,8.63677,3.39575,18.14949
543,,2019,8.58667,3.57468,18.0253
62,,2010,52.9542,48.20049,57.52028
62,,2011,52.96619,50.06429,55.58823
62,,2012,53.65272,51.45487,55.9736
62,,2013,55.82597,52.81759,58.56765
62,,2014,53.5476,50.88921,56.27854
62,,2015,53.21841,50.72365,55.74703
62,,2016,50.96171,48.52467,53.70082
62,,2017,49.34969,47.00556,51.72123
62,,2018,53.34119,50.74024,55.94231
62,,2019,48.30671,46.17471,50.67482
747,,2010,35.18342,30.13345,41.00821
747,,2011,35.07014,29.93653,40.72673
747,,2012,35.56683,30.43085,41.35209
747,,2013,35.46949,30.42883,41.45521
747,,2014,34.86758,29.9448,40.80531
747,,2015,35.83268,30.80543,41.94906
747,,2016,35.53558,30.53781,41.60651
747,,2017,35.94769,30.89211,42.15714
747,,2018,36.10581,31.06338,42.3843
747,,2019,35.94189,30.86498,42.29315
753,,2010,38.21828,36.45383,39.85841
753,,2011,40.73898,36.30338,45.73528
753,,2012,41.85703,37.67975,45.52277
753,,2013,49.52913,47.29313,51.57485
753,,2014,42.73972,41.11013,44.32297
753,,2015,40.4442,38.89145,41.93837
753,,2016,38.23954,36.77331,39.63836
753,,2017,36.9875,35.63405,38.21717
753,,2018,32.82319,31.62344,33.95021
753,,2019,31.55598,30.38555,32.49792
AFG,Eastern Mediterranean,2010,68.96605,49.48253,96.51297
AFG,Eastern Mediterranean,2011,66.94454,48.90072,92.61683
AFG,Eastern Mediterranean,2012,68.25744,49.59602,94.01766
AFG,Eastern Mediterranean,2013,72.18289,52.57123,99.66944
AFG,Eastern Mediterranean,2014,68.05715,49.35964,93.42773
AFG,Eastern Mediterranean,2015,67.2032,49.04869,92.66884
AFG,Eastern Mediterranean,2016,64.00314,46.00713,87.23201
AFG,Eastern Mediterranean,2017,61.77561,44.80775,85.24496
AFG,Eastern Mediterranean,2018,70.25405,50.6232,97.14645
AFG,Eastern Mediterranean,2019,62.48616,45.0385,86.46475
AFR,,2010,31.55601,24.7638,41.01253
AFR,,2011,31.88515,25.05364,41.39494
AFR,,2012,32.33243,25.45346,42.00259
AFR,,2013,31.48955,24.63107,40.78082
AFR,,2014,31.84252,24.99303,41.33236
AFR,,2015,33.39974,26.27522,43.36559
AFR,,2016,33.40155,26.21019,43.44526
AFR,,2017,33.21602,26.13107,43.12698
AFR,,2018,32.94913,25.86876,42.66367
AFR,,2019,32.52097,25.38894,41.93688
AGO,Africa,2010,24.1984,6.16704,65.55157
AGO,Africa,2011,24.67357,6.18201,67.98953
AGO,Africa,2012,24.0083,6.12695,65.44965
AGO,Africa,2013,24.53186,6.11282,68.8831
AGO,Africa,2014,24.11941,6.0244,68.29617
AGO,Africa,2015,25.03078,6.02896,73.13954
AGO,Africa,2016,26.0812,6.00523,80.35371
AGO,Africa,2017,25.44195,5.89409,78.84233
AGO,Africa,2018,25.85236,5.83872,82.45705
AGO,Africa,2019,27.16477,5.8472,89.90965
ALB,Europe,2010,21.9487,19.82468,24.69097
ALB,Europe,2011,22.9965,20.5653,25.74749
ALB,Europe,2012,21.70175,19.51096,24.28359
ALB,Europe,2013,19.77038,17.95276,22.19475
ALB,Europe,2014,19.13142,17.33539,21.32077
ALB,Europe,2015,18.98271,17.17095,21.22888
ALB,Europe,2016,18.14981,16.41937,20.18189
ALB,Europe,2017,19.00622,17.2217,21.11586
ALB,Europe,2018,19.75808,17.96853,21.90301
ALB,Europe,2019,16.27997,14.73426,18.20503
AMR,,2010,14.74427,13.96488,15.47034
AMR,,2011,15.02574,14.43077,15.69373
AMR,,2012,14.56347,13.8266,15.13937
AMR,,2013,14.60512,13.96276,15.3076
AMR,,2014,14.28605,13.64871,14.83327
AMR,,2015,13.97896,13.26343,14.59902
AMR,,2016,13.51915,12.9471,14.25459
AMR,,2017,13.9361,13.2816,14.70507
AMR,,2018,12.78496,12.24686,13.37841
