Id,IndicatorCode,SpatialDim,ParentLocationCode,TimeDim,NumericValue_MDG,Low,High
751,MDG_0000000007,SLV,AMR,2017,9.177680912,5.84183654,14.255143372
1646,MDG_0000000007,MOZ,AFR,2011,93.342799443,83.961474059,103.001955898
3542,MDG_0000000007,ARE,EMR,2019,6.304520038,5.924500676,6.708090809
4049,MDG_0000000007,TJK,EUR,2010,29.290260543,23.903977074,35.537795267
5722,MDG_0000000007,MNG,WPR,2011,15.619566767,12.757186387,18.863127915
6085,MDG_0000000007,UZB,EUR,2019,13.180912111,10.975301685,15.47565123
6179,MDG_0000000007,TUV,WPR,2012,25.440204229,18.727383472,34.025828567
6481,MDG_0000000007,UKR,EUR,2019,8.561170539,7.726440995,9.381297333
6684,MDG_0000000007,CUB,AMR,2010,6.180552501,5.420310787,6.989808378
7738,MDG_0000000007,SLV,AMR,2018,14.103434827,9.620989172,20.942293725
16815,MDG_0000000007,DOM,AMR,2012,31.373055251,26.362214629,37.071715827
17076,MDG_0000000007,SYR,EMR,2018,32.60028805,17.987929438,41.68461386
17142,MDG_0000000007,CMR,AFR,2010,66.238958173,57.646918296,76.407478107
17695,MDG_0000000007,STP,AFR,2014,25.36177431,18.454272532,34.823867757
20036,MDG_0000000007,BLR,EUR,2015,2.787769385,2.056688226,3.685129338
21804,MDG_0000000007,ECU,AMR,2014,15.927440888,15.13483299,16.78737566
23207,MDG_0000000007,SMR,EUR,2014,2.142007548,1.287978048,3.623354951
24715,MDG_0000000007,BTN,SEAR,2011,56.471427346,42.576750597,74.52079507
25737,MDG_0000000007,ZAF,AFR,2015,32.976958377,27.853933359,38.533288665
26181,MDG_0000000007,KIR,WPR,2017,76.593631249,54.21796176,107.092307069
28036,MDG_0000000007,SRB,EUR,2017,7.695977947,6.295060872,9.216995072
29988,MDG_0000000007,LBR,AFR,2013,95.406412475,86.369562752,105.582521096
32084,MDG_0000000007,SOM,EMR,2010,194.805048879,136.42978985,283.761932393
33650,MDG_0000000007,KGZ,EUR,2010,20.561476518,16.81241104,24.710872575
36720,MDG_0000000007,PSE,EMR,2014,27.709109426,21.772987249,35.053670947
36967,MDG_0000000007,TUV,WPR,2012,20.079745345,13.594775477,29.177074768
38270,MDG_0000000007,BGR,EUR,2014,8.693442733,8.399598107,8.997709509
38278,MDG_0000000007,COD,AFR,2017,94.707802241,65.19401138,135.548943281
38947,MDG_0000000007,EGY,EMR,2014,21.088567573,16.875965498,26.382093272
39495,MDG_0000000007,BRA,AMR,2019,12.391561173,10.340292743,14.657378216
