SpatialDim,ParentLocationCode,TimeDim,PM25_mean,PM25_lower_CI,PM25_upper_CI,PM25_scaled_0_1
202,,2010,31.79272,24.56158,41.63795,0.3995285746780229
202,,2011,32.11836,24.84744,42.02667,0.4043697901257878
202,,2012,32.52763,25.17765,42.60997,0.4104543136680637
202,,2013,31.71878,24.43323,41.38021,0.3984293255986477
202,,2014,32.01954,24.71232,41.8947,0.40290065577328765
202,,2015,33.62414,26.02509,43.99263,0.42675587720641467
202,,2016,33.60248,25.9319,43.93473,0.42643386293728747
202,,2017,33.39716,25.83645,43.70604,0.42338141742772145
202,,2018,33.14215,25.6133,43.24276,0.4195902420459056
202,,2019,32.69679,25.12191,42.47457,0.41296917672279865
419,,2010,17.97146,16.71219,19.09285,0.19405106141314607
419,,2011,18.35907,17.36523,19.42948,0.19981357068629474
419,,2012,17.7784,16.59584,18.68428,0.1911808825212855
419,,2013,18.01339,16.97718,19.15099,0.19467442513911581
419,,2014,17.57599,16.61323,18.46667,0.18817169931657451
419,,2015,17.25153,16.16178,18.20798,0.1833480266590945
419,,2016,16.95964,16.05439,18.09782,0.17900856474701957
419,,2017,17.36015,16.34587,18.55757,0.18496285537158752
419,,2018,15.45388,14.60837,16.38204,0.15662277500182117
419,,2019,14.9579,14.04134,15.9998,0.1492491537090365
513,,2010,13.69349,13.21027,14.20196,0.13045145924794949
513,,2011,13.6621,13.22202,14.11614,0.12998479129282933
513,,2012,12.64094,12.27399,13.00531,0.1148034389815667
513,,2013,12.29875,11.89401,12.73069,0.10971617846667092
513,,2014,11.97128,11.55353,12.44834,0.1048477568271931
513,,2015,11.63735,11.30641,12.05762,0.09988329584429137
513,,2016,10.70538,10.37504,11.07562,0.08602791087667863
513,,2017,10.84737,10.53511,11.23554,0.08813884375171896
513,,2018,11.13306,10.82508,11.47686,0.09238613168094124
513,,2019,10.04155,9.71614,10.38357,0.07615890199972943
53,,2010,9.08553,8.20803,9.96028,0.06194597117927691
53,,2011,8.15176,7.36955,8.76504,0.04806382602309403
53,,2012,7.37259,6.93893,7.84186,0.03648008372965667
53,,2013,7.29631,6.93373,7.61962,0.03534604640514033
53,,2014,6.95679,6.65374,7.19512,0.030298480169956923
53,,2015,6.65513,6.38013,6.93692,0.025813769901031892
53,,2016,6.70996,6.4216,7.00485,0.026628914978420872
53,,2017,6.92783,6.60128,7.26086,0.02986793846940641
53,,2018,7.16285,6.762,7.56213,0.03336192709037955
53,,2019,8.88227,8.57049,9.20649,0.05892415121885225
543,,2010,8.31275,3.21316,17.55835,0.05045722755526349
543,,2011,8.03704,3.26408,18.06838,0.04635831000489115
543,,2012,8.1255,3.23345,18.30424,0.04767342460539872
543,,2013,8.14817,3.09618,18.13859,0.048010454313668065
543,,2014,8.15123,3.27495,17.80158,0.048055946634237276
543,,2015,8.6194,3.58258,18.32838,0.055016123013613506
543,,2016,8.42052,3.44882,18.14097,0.05205941951204282
543,,2017,8.56436,3.45548,18.12342,0.05419785591422468
543,,2018,8.63677,3.39575,18.14949,0.055274358833315246
543,,2019,8.58667,3.57468,18.0253,0.054529533584779986
