SpatialDim,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,0.2247831998333617,0.2473414868875431,0.2758185962345828,0.31989138909899417,0.36436486501156273,0.4092280786035114,0.45445514420554867,0.5000807905914123,0.5460835681499094,0.5924351784165713
AGO,0.24826207653998367,0.2427266713661662,0.24137179438783807,0.25524460311209585,0.2690766419918261,0.2828054426510552,0.29643798048479275,0.3099656835321586,0.3233627282067174,0.32966947203395924
ALB,0.8694083205514211,0.8729877262409663,0.8772582244217156,0.8838410701679768,0.8901858156927706,0.8962951101230986,0.902176158790811,0.9078346558820863,0.9132757968422633,0.9185071221421492
AND,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0
ARE,0.997133821886421,0.9974224097886076,0.9977415584052519,0.9981147268852651,0.9984894913372696,0.9988657218797149,0.9992431133417408,0.999621206201967,1.0000000000000002,1.0
ARG,0.9762775284515897,0.9786251869912267,0.9811302695456913,0.9820947135737456,0.9830596791730574,0.9840229273324134,0.9849839764650856,0.9850196741498237,0.9850571080875365,0.9850963761354212
ARM,0.9718064723816016,0.9757007954252,0.9799382659989003,0.9846914372752184,0.9893784542403662,0.9925359004912325,0.9926277171831599,0.9927243149989217,0.9986723906990347,0.9988832737321045
ATG,0.9752493703724745,0.9746540323024676,0.9741873661523114,0.9742343905723417,0.9742843805915448,0.9743372126430013,0.9743933589461358,0.9744529836262318,0.9745155753651706,0.9745816124327096
AUS,0.9982296956958094,0.9983243104492517,0.9984327214529206,0.9985747341558392,0.9993939715270453,0.9995290194656256,0.9995296087262517,0.9995302581861029,0.9995306526235523,0.9995312641378664
AUT,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0
AZE,0.788034312333125,0.8032454464873567,0.8204099058069224,0.8416121504977317,0.8628593121891489,0.8833431454277997,0.8958835986013263,0.9082898647656136,0.920548888585101,0.9326473983838175
BDI,0.34137166013368925,0.3350543117908582,0.33245637546579665,0.3433687855272065,0.3543647658947564,0.3654553047322555,0.3766360116083105,0.3879065704472081,0.39925749276221456,0.41068817265150903
BEL,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0
BEN,0.4625135866992369,0.4537134189324691,0.4476947043106242,0.452651253007467,0.45758673861183297,0.46249754697638357,0.46738111420545625,0.4722389776317887,0.477065031032887,0.48186062174119737
BFA,0.2943884565130943,0.2696619384737793,0.2482651033577794,0.24177102483881618,0.235470852815161,0.22937458494840413,0.22349271551415595,0.2178208105312177,0.21236869847369355,0.20715777540291858
BGD,0.9477790528129675,0.9489817363177481,0.9504747560436094,0.9529282347670279,0.9553134238610653,0.9576290211925543,0.9598748254829579,0.9620501432978189,0.9641545488739329,0.9661878979396457
BGR,0.9913625329015887,0.9906217841192587,0.9899160638074901,0.9894138422777264,0.9889258208248185,0.9884524992582057,0.9879936660867314,0.9875496541787646,0.9871203036619853,0.9867056248614392
BHR,0.999080156791456,0.9990281496922447,0.998979839550984,0.9989511897288795,0.9989227733763447,0.9988946086858231,0.9988667063384715,0.9988390845191476,0.9988119011281016,0.9987848625212485
BHS,0.9798994868298965,0.9800837379478385,0.9803939345072469,0.9811051777144605,0.981815999246083,0.9825259942006598,0.982565291264303,0.9826067389041858,0.9826502024615877,0.9826957955559177
BIH,0.9495464788198982,0.947186775639221,0.9439303454220004,0.9424912089426171,0.9397138544999896,0.939711979703879,0.9397131631393065,0.9397174048249329,0.9397247919073355,0.9397359594564467
BLR,0.9742356037796589,0.9736534886804874,0.9732371749057903,0.9733883114012755,0.9735745154643455,0.9737955850284709,0.974049846437534,0.9743368764513397,0.9746543064063657,0.9750005985515986
BLZ,0.9081592910299381,0.9160543746059514,0.924795742839963,0.9352110184825814,0.9456006061543355,0.9556585956302427,0.9621641256713807,0.9686304353940925,0.9750485207919641,0.975133679114778
BOL,0.8096981953833626,0.8147373514830177,0.8209546547446306,0.8305330377600072,0.839845019073692,0.8490377082715171,0.8581127300597882,0.8670619727906038,0.8759033689976028,0.8844243503849543
BRA,0.94726353462478,0.950181737248342,0.9534219915256713,0.9575568411657006,0.9615895629688284,0.9655173171692816,0.9679801856095358,0.9757934511177856,0.9794162104259965,0.983451058845551
BRB,0.9761319472059689,0.9757183216117266,0.9754308594508255,0.9756350638413792,0.9758413010921568,0.9760496978659873,0.9762603564792052,0.9764730609476721,0.9766877293641085,0.9769044590383933
BRN,0.998485561173285,0.9984494753388719,0.9984210335951677,0.9984240258108535,0.998427346672987,0.9984306928594643,0.9984342220538165,0.99843794438732,0.9984418477665318,0.9984460978633418
BTN,0.8927429794163875,0.9048675493350516,0.9178071936237365,0.9323570186105888,0.9465993259742512,0.9605352850766679,0.9715891815959374,0.9790575785325178,0.9807491195644906,0.9824680350126256
BWA,0.7436765702815809,0.7576613863213543,0.7704743232769847,0.7872994483380936,0.8036933439288675,0.8196537037124257,0.8351813512651145,0.850271906439182,0.8648957623278508,0.8790677022490305
CAF,0.2063804275786324,0.170737162262243,0.1386432639953804,0.12357311829753803,0.10879831570653675,0.09432562652185583,0.08015479835909733,0.06627985110778445,0.05269379050771039,0.03939884275878491
CAN,0.9884315173549965,0.9881487306310434,0.9879065419940779,0.9879037635783333,0.9879011418413416,0.9878992541238271,0.9878979587712937,0.9878976631673037,0.9878981327581244,0.9878991522954688
CHE,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0
CHL,0.9746862845348332,0.9777870320178611,0.9811242676727913,0.984872255760259,0.9885819012396994,0.9922522132160277,0.9958833323125598,0.9994600938233485,1.0000000000000002,1.0
CHN,0.8290286882917686,0.8384056133428562,0.848545896243096,0.8613973501185014,0.8737144904208324,0.8854942705217993,0.8967407351480967,0.9074475798764233,0.9175953203058131,0.9272001124344198
CIV,0.5718602510935635,0.5631546825550077,0.5566209581926908,0.5588943304340369,0.561166475801261,0.5634833092348294,0.5658333969032496,0.568223044539525,0.5706467563201734,0.5731014953840012
CMR,0.4419140676778579,0.4379023171014479,0.4368035162130329,0.44681761042775625,0.4566119326880461,0.46619144730748296,0.47555711917534427,0.484703075043052,0.49363731123030896,0.5023545620670025
COD,0.044155958264689654,0.01975635498747963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG,0.4833291295044406,0.4874316304239087,0.49469868781684545,0.5122400083993103,0.5296992497172416,0.5470671257156942,0.5643305884182872,0.581479108521923,0.5854719606639824,0.589500409968978
COK,0.9988451968414476,0.9989104295544237,0.9989848937597422,0.9990810889718381,0.9991770158509797,0.9992726490614144,0.9993679557810273,0.9994629066485813,0.9995574635663449,0.999558626496651
COL,0.9214989869151093,0.9236300299573709,0.9262303484071425,0.9302891929189777,0.9342666780152787,0.9381666925705959,0.9419896188107637,0.9457337254620067,0.9491761168745114,0.9516886462068777
COM,0.7486183036982332,0.7300948663007881,0.7124614833755228,0.7004367389110343,0.6885849062095418,0.688085291434905,0.6890506915127661,0.6900816656925958,0.6911751937675159,0.6923367050185363
CPV,0.7434207048041055,0.7435866177484433,0.7452969402925785,0.752197015533364,0.7591146949790414,0.7702869370408921,0.7844982970833392,0.7985204539274856,0.8123522378018395,0.8226245974546165
CRI,0.970522145846352,0.9736071140807397,0.9772584297489463,0.9811895176355564,0.9848846870355373,0.9883605010604911,0.991632423758785,0.9947145451192795,0.9966395912515895,0.9968522404641402
CUB,0.8951743831543868,0.894612248632996,0.894635067964103,0.8966958929453676,0.8987367641698093,0.9007804147454587,0.9028232404930603,0.904882439532071,0.9069523112825282,0.90902761950277
CYP,0.9973815069401051,0.9971992223336347,0.9970262299219582,0.9969100059936519,0.9967945939491235,0.9966799012196826,0.9965658147566896,0.9964525585770855,0.996339682798489,0.9963494571214737
CZE,0.9978276430153952,0.9978649072236582,0.9979179818797138,0.9980154107164984,0.998112218160181,0.9981176477976165,0.9981229774780795,0.998128846147836,0.9981350807001586,0.9981416916218635
DEU,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0
DJI,0.6306661364540136,0.6222641506507566,0.6157984773248452,0.6170538788639114,0.6184050154991939,0.6198723956738866,0.6214412268581355,0.6231207983423085,0.6249094546139842,0.6268108517871196
