SpatialDim,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,48.82697,51.47238,54.14949,56.85814,59.59816,62.36966,65.17216,68.00887,70.87994,73.78464
AGO,50.37684,51.17484,51.96854,52.75735,53.54151,54.31693,55.08427,55.84291,56.59175,56.88304
ALB,91.37948,91.81089,92.22878,92.6316,93.02006,93.39432,93.75488,94.1021,94.43639,94.75822
AND,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ARE,99.8108,99.83381,99.85701,99.88041,99.90399,99.92775,99.95168,99.97576,100.0,100.0
ARG,98.43405,98.62186,98.80529,98.8642,98.92325,98.98231,99.04137,99.04137,99.04137,99.04137
ARM,98.13891,98.43331,98.72982,99.02892,99.32488,99.52456,99.52935,99.53441,99.91483,99.92817
ATG,98.36618,98.36582,98.36571,98.36559,98.36548,98.36536,98.36526,98.36518,98.3651,98.36504
AUS,99.88314,99.89196,99.90077,99.90959,99.96148,99.97,99.96997,99.96994,99.96989,99.96985
AUT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AZE,86.00788,87.31426,88.62951,89.95286,91.28315,92.56932,93.35316,94.13123,94.90298,95.66775
BDI,56.52312,57.12766,57.73543,58.3474,58.96254,59.58147,60.20415,60.83055,61.46062,62.09432
BEL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BEN,64.51985,64.7782,65.03158,65.2796,65.52347,65.76276,65.99736,66.2272,66.4522,66.67227
BFA,53.4217,52.91149,52.40498,51.90267,51.40548,50.91355,50.42741,49.94632,49.47116,49.00285
BGD,96.55283,96.7106,96.86438,97.01406,97.15966,97.3011,97.43839,97.57149,97.70041,97.82514
BGR,99.42983,99.39534,99.36155,99.32848,99.29611,99.26446,99.23351,99.20327,99.17373,99.14488
BHR,99.93928,99.93734,99.93541,99.93347,99.93153,99.92959,99.92765,99.92571,99.92378,99.92184
BHS,98.67314,98.7159,98.75867,98.80143,98.8442,98.88696,98.88696,98.88696,98.88696,98.88696
BIH,96.6695,96.59487,96.45003,96.352,96.16813,96.15984,96.15126,96.14236,96.13317,96.1237
BLR,98.29926,98.30131,98.30555,98.31192,98.32036,98.33086,98.34333,98.35775,98.374,98.39199
BLZ,93.93748,94.58761,95.23855,95.89019,96.5423,97.17559,97.58454,97.99258,98.39929,98.40055
BOL,87.43794,88.0552,88.664,89.25007,89.82033,90.38417,90.94185,91.49295,92.03884,92.56595
BRA,96.5188,96.78797,97.05098,97.30767,97.55858,97.80356,97.95584,98.45096,98.67949,98.93554
BRB,98.42444,98.43444,98.44444,98.45444,98.46444,98.47444,98.48445,98.49445,98.50445,98.51445
BRN,99.90003,99.90003,99.90003,99.90003,99.90004,99.90004,99.90004,99.90004,99.90004,99.90005
BTN,92.91983,93.86634,94.79608,95.70915,96.60578,97.48622,98.18624,98.65984,98.765,98.87231
BWA,83.07977,84.37523,85.46791,86.5076,87.52248,88.5125,89.4779,90.41851,91.33267,92.2214
CAF,47.61218,46.53332,45.46443,44.40493,43.354,42.31135,41.27665,40.24882,39.22755,38.21227
CAN,99.23635,99.23589,99.23432,99.23269,99.23098,99.22922,99.2274,99.22554,99.22363,99.22165
CHE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CHL,98.32901,98.56782,98.80491,99.04039,99.27425,99.50649,99.73719,99.96545,100.0,100.0
CHN,88.71397,89.58121,90.4109,91.20791,91.97312,92.70634,93.40788,94.07733,94.7135,95.31737
CIV,71.73796,71.83442,71.92809,72.019,72.10714,72.19524,72.2826,72.36947,72.45574,72.54106
CMR,63.16005,63.75878,64.34202,64.90955,65.46151,65.99805,66.51932,67.02481,67.51536,67.99048
COD,36.90354,36.79884,36.68643,36.56622,36.43863,36.3031,36.15953,36.0074,35.84709,35.67806
COG,65.89391,66.95218,68.00757,69.05954,70.10704,71.14958,72.18666,73.21776,73.40682,73.59587
COK,99.92377,99.92975,99.93573,99.94171,99.94769,99.95367,99.95965,99.96563,99.97161,99.97161
COL,94.81805,95.07605,95.32938,95.57798,95.8219,96.06141,96.29659,96.52736,96.7395,96.89252
