,SpatialDim,ParentLocationCode,TimeDim,Dim2,AirPollDALYs,Low,High
2,SLV,AMR,2018,GHECAUSE_GHE000390,243.742,154.05,340.223
6,MEX,AMR,2018,GHECAUSE_GHE001140,133.314,72.496,199.513
8,DOM,AMR,2014,GHECAUSE_GHE001180,46.758,15.665,104.331
9,ARE,EMR,2010,GHECAUSE_GHE000000,1700.017,1338.762,2065.767
10,LAO,WPR,2016,GHECAUSE_GHE001130,1399.435,1070.575,1684.622
11,WPR,,2019,GHECAUSE_GHE000390,215.432,157.857,278.569
12,PHL,WPR,2014,GHECAUSE_GHE001140,790.25,452.955,1162.072
13,ARE,EMR,2016,GHECAUSE_GHE001140,338.135,184.192,511.917
14,ITA,EUR,2016,GHECAUSE_GHE000000,288.344,214.398,366.251
16,ARM,EUR,2010,GHECAUSE_GHE001130,1213.578,822.043,1581.072
17,KEN,AFR,2015,GHECAUSE_GHE000680,46.23,38.606,53.434
18,FRA,EUR,2019,GHECAUSE_GHE000680,33.196,15.897,58.517
19,BFA,AFR,2012,GHECAUSE_GHE001180,345.402,229.262,476.326
23,KAZ,EUR,2018,GHECAUSE_GHE000000,1797.564,1245.384,2537.425
24,CAN,AMR,2018,GHECAUSE_GHE001130,116.475,62.1,164.124
31,CIV,AFR,2014,GHECAUSE_GHE001130,1488.76,1164.234,1783.033
35,VNM,WPR,2016,GHECAUSE_GHE001140,713.974,358.548,1150.547
36,VCT,AMR,2013,GHECAUSE_GHE000000,739.086,423.176,1223.966
39,GEO,EUR,2017,GHECAUSE_GHE000680,91.094,48.027,145.123
40,THA,SEAR,2018,GHECAUSE_GHE001140,264.453,140.783,404.117
41,IDN,SEAR,2017,GHECAUSE_GHE000390,331.867,236.759,436.162
46,COG,AFR,2015,GHECAUSE_GHE000390,1643.082,1308.574,2020.043
47,HTI,AMR,2013,GHECAUSE_GHE001140,1579.518,994.466,2227.334
48,FSM,WPR,2011,GHECAUSE_GHE001180,728.401,430.416,1128.71
51,COD,AFR,2014,GHECAUSE_GHE000390,3631.181,2951.038,4299.134
54,LTU,EUR,2014,GHECAUSE_GHE001130,666.674,400.049,892.739
