Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4876,AIR_9,UNREGION,9,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,4.69 [1.44-9.40],4.69078,1.4419,9.40261,,2022-09-12T16:33:05+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
23972,AIR_9,UNSDGREGION,UNSDG_EUROPENORTHERNAMR,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,10.09 [2.03-25.39],10.09427,2.03346,25.38599,,2022-09-12T15:58:50+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
36926,AIR_9,COUNTRY,HTI,AMR,YEAR,Americas,SEX,2019,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,,,36 [4-99],36.07684,3.82627,99.44012,,2022-08-26T09:26:05+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
48525,AIR_9,REGION,SEAR,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,275.42 [199.59-357.80],275.41737,199.58592,357.80061,,2022-09-12T17:07:52+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
49186,AIR_9,COUNTRY,ISR,EUR,YEAR,Europe,SEX,2019,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,,,27 [15-43],27.18332,15.13504,43.28586,,2022-08-26T09:26:07+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
54798,AIR_9,UNREGION,30,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE0-4,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,27.50 [19.29-36.07],27.5017,19.29109,36.07125,,2022-09-12T16:32:31+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
61541,AIR_9,COUNTRY,GTM,AMR,YEAR,Americas,SEX,2019,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,,,29 [8-61],28.67068,8.47936,60.65971,,2022-08-26T09:26:04+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
73830,AIR_9,UNSDGREGION,UNSDG_SUBSAHARANAFRICA,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,0.33 [0.18-0.51],0.32927,0.18336,0.5143,,2022-09-12T15:58:59+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
80066,AIR_9,COUNTRY,GRD,AMR,YEAR,Americas,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,,,31 [6-79],31.04149,5.8791,78.59789,,2022-08-26T09:26:03+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
80865,AIR_9,COUNTRY,CUB,AMR,YEAR,Americas,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,,,100 [24-232],99.50264,23.86791,232.15027,,2022-08-26T09:25:55+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
87435,AIR_9,UNREGION,150,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,0.30 [0.07-0.71],0.30456,0.07365,0.70661,,2022-09-12T16:32:38+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
93595,AIR_9,UNREGION,34,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE65-69,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,4.71 [3.02-6.65],4.70638,3.01913,6.64932,,2022-09-12T16:33:13+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
99194,AIR_9,WORLDBANKINCOMEGROUP,WB_HI,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,1.16 [0.37-2.47],1.16129,0.37307,2.47344,,2022-09-12T14:48:55+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
99921,AIR_9,COUNTRY,SGP,WPR,YEAR,Western Pacific,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,,,85 [36-143],84.82842,36.12089,142.50373,,2022-08-26T09:26:26+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
113038,AIR_9,UNSDGREGION,UNSDG_CENTRALASIASOUTHERNASIA,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE25-29,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,0.30 [0.20-0.43],0.30473,0.19617,0.43372,,2022-09-12T15:58:36+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
118320,AIR_9,COUNTRY,GRC,EUR,YEAR,Europe,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,,,193 [90-314],193.04585,90.03826,314.0191,,2022-08-26T09:26:03+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
124401,AIR_9,REGION,AFR,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,2.01 [0.74-3.77],2.01161,0.7398,3.7727,,2022-09-12T17:07:43+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
130787,AIR_9,REGION,SEAR,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,36.74 [19.58-55.60],36.73773,19.57898,55.59872,,2022-09-12T17:07:53+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
131649,AIR_9,REGION,WPR,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE75-79,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,53.98 [28.23-80.98],53.97746,28.22869,80.98039,,2022-09-12T17:08:04+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
137150,AIR_9,REGION,AMR,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,5.48 [2.30-9.65],5.47993,2.30014,9.65174,,2022-09-12T17:07:51+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
143958,AIR_9,COUNTRY,KHM,WPR,YEAR,Western Pacific,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,,,28 [15-45],27.73164,14.68708,44.94036,,2022-08-26T09:26:10+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
156813,AIR_9,COUNTRY,BEL,EUR,YEAR,Europe,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,,,86 [41-148],85.52208,41.25652,147.92301,,2022-08-26T09:25:46+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
157170,AIR_9,UNREGION,202,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,,7.71 [2.84-14.81],7.7112,2.83595,14.8085,,2022-09-12T16:33:17+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
157299,AIR_9,WORLDBANKINCOMEGROUP,WB_LIMI,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,0.91 [0.56-1.32],0.90805,0.55734,1.32382,,2022-09-12T14:49:05+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
163218,AIR_9,UNREGION,143,,YEAR,,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,,0.60 [0.35-0.92],0.59545,0.34758,0.91661,,2022-09-12T16:32:28+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
169144,AIR_9,UNREGION,21,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE40-44,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,,8.79 [4.67-12.44],8.78517,4.66684,12.43747,,2022-09-12T16:33:02+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
175394,AIR_9,UNREGION,419,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,2.15 [1.03-3.49],2.14732,1.02758,3.48599,,2022-09-12T16:32:42+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
175813,AIR_9,UNREGION,15,,YEAR,,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_AGE10-14,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,8.72 [6.21-11.48],8.71957,6.20537,11.4789,,2022-09-12T16:32:47+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
176162,AIR_9,COUNTRY,AUS,WPR,YEAR,Western Pacific,SEX,2019,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,,,,19 [6-38],18.97676,6.24714,37.98841,,2022-08-26T09:25:45+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
181675,AIR_9,REGION,AMR,,YEAR,,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,,85.18 [35.52-148.09],85.18397,35.51528,148.08891,,2022-09-12T17:07:47+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
