Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
632,SDGPM25,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,2010,,,,,,,61.81 [42.68-87.77],61.81464,42.68402,87.77431,,2022-08-12T08:58:50+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
802,SDGPM25,COUNTRY,HRV,EUR,YEAR,Europe,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,2019,,,,,,,15.49 [14.46-16.71],15.48858,14.4647,16.70997,,2022-08-12T08:59:37+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1392,SDGPM25,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,2013,,,,,,,24.42 [18.70-31.44],24.41514,18.70254,31.44355,,2022-08-12T08:59:50+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3587,SDGPM25,COUNTRY,URY,AMR,YEAR,Americas,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,2019,,,,,,,8.24 [5.64-11.73],8.23782,5.64424,11.73136,,2022-08-12T09:00:43+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3955,SDGPM25,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,2015,,,,,,,22.72 [16.49-30.82],22.72126,16.49476,30.81847,,2022-08-12T08:59:50+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4611,SDGPM25,COUNTRY,VNM,WPR,YEAR,Western Pacific,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,2017,,,,,,,22.44 [18.51-26.37],22.4402,18.5114,26.3697,,2022-08-12T09:00:46+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5093,SDGPM25,COUNTRY,SEN,AFR,YEAR,Africa,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,2012,,,,,,,42.88 [25.91-59.55],42.8783,25.91333,59.54569,,2022-08-12T09:00:24+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5905,SDGPM25,COUNTRY,COG,AFR,YEAR,Africa,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,2019,,,,,,,29.48 [6.42-102.37],29.48397,6.4154,102.37134,,2022-08-12T08:59:14+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7346,SDGPM25,COUNTRY,AUT,EUR,YEAR,Europe,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,2014,,,,,,,11.64 [11.26-12.11],11.642,11.25937,12.10913,,2022-08-12T08:58:55+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7612,SDGPM25,COUNTRY,VNM,WPR,YEAR,Western Pacific,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,2014,,,,,,,20.16 [15.48-24.36],20.16026,15.47562,24.35717,,2022-08-12T09:00:45+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8138,SDGPM25,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,2014,,,,,,,13.63 [11.37-16.33],13.62969,11.37458,16.32794,,2022-08-12T08:59:56+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
10321,SDGPM25,WHOINCOMEREGION,HI_AMR,,YEAR,,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,2010,,,,,,,9.13 [8.99-9.30],9.13416,8.99456,9.29747,,2022-08-12T09:07:50+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
11084,SDGPM25,COUNTRY,MLT,EUR,YEAR,Europe,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,2010,,,,,,,12.36 [11.28-13.39],12.35941,11.28464,13.39474,,2022-08-12T09:00:01+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
11091,SDGPM25,COUNTRY,CRI,AMR,YEAR,Americas,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,2015,,,,,,,17.75 [14.81-21.80],17.74779,14.80875,21.80365,,2022-08-12T08:59:16+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
11488,SDGPM25,COUNTRY,AZE,EUR,YEAR,Europe,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,2015,,,,,,,28.18 [16.76-45.52],28.17802,16.7579,45.51842,,2022-08-12T08:58:56+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
11811,SDGPM25,COUNTRY,LBR,AFR,YEAR,Africa,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,2017,,,,,,,32.64 [17.69-59.91],32.63697,17.69157,59.90569,,2022-08-12T08:59:51+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
