Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
10613,WSH_WATER_BASIC,COUNTRY,CIV,YEAR,AFR,Africa,RESIDENCEAREATYPE,2006,RESIDENCEAREATYPE_URB,,,,,,,90,89.52668,,,,2023-07-10T07:51:09+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
23554,WSH_WATER_BASIC,COUNTRY,HND,YEAR,AMR,Americas,RESIDENCEAREATYPE,2000,RESIDENCEAREATYPE_URB,,,,,,,96,95.8116,,,,2023-07-10T07:51:49+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
35778,WSH_WATER_BASIC,COUNTRY,TKM,YEAR,EUR,Europe,RESIDENCEAREATYPE,2000,RESIDENCEAREATYPE_URB,,,,,,,96,96.42777,,,,2023-07-10T07:54:24+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
42675,WSH_WATER_BASIC,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,RESIDENCEAREATYPE,2020,RESIDENCEAREATYPE_URB,,,,,,,99,99.28596,,,,2023-07-10T07:51:28+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
42794,WSH_WATER_BASIC,COUNTRY,PRY,YEAR,AMR,Americas,RESIDENCEAREATYPE,2007,RESIDENCEAREATYPE_TOTL,,,,,,,86,86.0494,,,,2023-07-10T07:53:57+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
42893,WSH_WATER_BASIC,COUNTRY,BTN,YEAR,SEAR,South-East Asia,RESIDENCEAREATYPE,2003,RESIDENCEAREATYPE_TOTL,,,,,,,86,85.75393,,,,2023-07-10T07:51:02+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
48430,WSH_WATER_BASIC,COUNTRY,DNK,YEAR,EUR,Europe,RESIDENCEAREATYPE,2019,RESIDENCEAREATYPE_RUR,,,,,,,100,100.0,,,,2023-07-10T07:51:24+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
54910,WSH_WATER_BASIC,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,RESIDENCEAREATYPE,2010,RESIDENCEAREATYPE_URB,,,,,,,75,75.12189,,,,2023-07-10T07:54:43+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
55012,WSH_WATER_BASIC,COUNTRY,BLR,YEAR,EUR,Europe,RESIDENCEAREATYPE,2020,RESIDENCEAREATYPE_TOTL,,,,,,,99,98.65157,,,,2023-07-10T07:50:57+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
55053,WSH_WATER_BASIC,COUNTRY,ECU,YEAR,AMR,Americas,RESIDENCEAREATYPE,2010,RESIDENCEAREATYPE_RUR,,,,,,,78,78.09694,,,,2023-07-10T07:51:27+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
55346,WSH_WATER_BASIC,COUNTRY,MYS,YEAR,WPR,Western Pacific,RESIDENCEAREATYPE,2017,RESIDENCEAREATYPE_RUR,,,,,,,91,90.62996,,,,2023-07-10T07:53:37+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
61694,WSH_WATER_BASIC,COUNTRY,TTO,YEAR,AMR,Americas,RESIDENCEAREATYPE,2001,RESIDENCEAREATYPE_TOTL,,,,,,,93,92.56262,,,,2023-07-10T07:54:27+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
74289,WSH_WATER_BASIC,COUNTRY,NAM,YEAR,AFR,Africa,RESIDENCEAREATYPE,2020,RESIDENCEAREATYPE_URB,,,,,,,96,96.23434,,,,2023-07-10T07:53:38+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
80278,WSH_WATER_BASIC,COUNTRY,HUN,YEAR,EUR,Europe,RESIDENCEAREATYPE,2004,RESIDENCEAREATYPE_RUR,,,,,,,100,99.90002,,,,2023-07-10T07:51:52+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
86386,WSH_WATER_BASIC,COUNTRY,CYP,YEAR,EUR,Europe,RESIDENCEAREATYPE,2017,RESIDENCEAREATYPE_RUR,,,,,,,100,99.8509,,,,2023-07-10T07:51:20+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
92939,WSH_WATER_BASIC,COUNTRY,VNM,YEAR,WPR,Western Pacific,RESIDENCEAREATYPE,2006,RESIDENCEAREATYPE_RUR,,,,,,,82,81.63714,,,,2023-07-10T07:54:39+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
99172,WSH_WATER_BASIC,COUNTRY,SWE,YEAR,EUR,Europe,RESIDENCEAREATYPE,2013,RESIDENCEAREATYPE_TOTL,,,,,,,100,99.64682,,,,2023-07-10T07:54:16+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
99773,WSH_WATER_BASIC,COUNTRY,WSM,YEAR,WPR,Western Pacific,RESIDENCEAREATYPE,2013,RESIDENCEAREATYPE_URB,,,,,,,88,88.31764,,,,2023-07-10T07:54:42+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
111726,WSH_WATER_BASIC,COUNTRY,COD,YEAR,AFR,Africa,RESIDENCEAREATYPE,2001,RESIDENCEAREATYPE_URB,,,,,,,70,70.29212,,,,2023-07-10T07:51:11+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
118009,WSH_WATER_BASIC,COUNTRY,COL,YEAR,AMR,Americas,RESIDENCEAREATYPE,2010,RESIDENCEAREATYPE_RUR,,,,,,,80,79.72865,,,,2023-07-10T07:51:14+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
118331,WSH_WATER_BASIC,COUNTRY,ETH,YEAR,AFR,Africa,RESIDENCEAREATYPE,2010,RESIDENCEAREATYPE_TOTL,,,,,,,34,33.98875,,,,2023-07-10T07:51:32+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
118366,WSH_WATER_BASIC,COUNTRY,IDN,YEAR,SEAR,South-East Asia,RESIDENCEAREATYPE,2001,RESIDENCEAREATYPE_RUR,,,,,,,66,66.34341,,,,2023-07-10T07:51:53+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
118600,WSH_WATER_BASIC,COUNTRY,NER,YEAR,AFR,Africa,RESIDENCEAREATYPE,2014,RESIDENCEAREATYPE_RUR,,,,,,,37,36.91155,,,,2023-07-10T07:53:39+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
124523,WSH_WATER_BASIC,COUNTRY,PRK,YEAR,SEAR,South-East Asia,RESIDENCEAREATYPE,2019,RESIDENCEAREATYPE_TOTL,,,,,,,94,93.82369,,,,2023-07-10T07:53:56+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
124733,WSH_WATER_BASIC,COUNTRY,ZWE,YEAR,AFR,Africa,RESIDENCEAREATYPE,2011,RESIDENCEAREATYPE_URB,,,,,,,94,94.10679,,,,2023-07-10T07:54:46+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
131040,WSH_WATER_BASIC,COUNTRY,BEN,YEAR,AFR,Africa,RESIDENCEAREATYPE,2016,RESIDENCEAREATYPE_TOTL,,,,,,,66,65.99736,,,,2023-07-10T07:50:50+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
137326,WSH_WATER_BASIC,COUNTRY,CUB,YEAR,AMR,Americas,RESIDENCEAREATYPE,2019,RESIDENCEAREATYPE_RUR,,,,,,,89,89.23079,,,,2023-07-10T07:51:18+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
143643,WSH_WATER_BASIC,COUNTRY,BGD,YEAR,SEAR,South-East Asia,RESIDENCEAREATYPE,2007,RESIDENCEAREATYPE_TOTL,,,,,,,96,96.0571,,,,2023-07-10T07:50:52+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
149868,WSH_WATER_BASIC,COUNTRY,KAZ,YEAR,EUR,Europe,RESIDENCEAREATYPE,2003,RESIDENCEAREATYPE_TOTL,,,,,,,91,91.24823,,,,2023-07-10T07:52:03+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
156451,WSH_WATER_BASIC,COUNTRY,PRK,YEAR,SEAR,South-East Asia,RESIDENCEAREATYPE,2009,RESIDENCEAREATYPE_RUR,,,,,,,96,95.91198,,,,2023-07-10T07:53:55+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
156646,WSH_WATER_BASIC,COUNTRY,SLB,YEAR,WPR,Western Pacific,RESIDENCEAREATYPE,2003,RESIDENCEAREATYPE_TOTL,,,,,,,79,78.851,,,,2023-07-10T07:54:06+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
181778,WSH_WATER_BASIC,COUNTRY,ETH,YEAR,AFR,Africa,RESIDENCEAREATYPE,2011,RESIDENCEAREATYPE_TOTL,,,,,,,36,35.52505,,,,2023-07-10T07:51:32+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
201225,WSH_WATER_BASIC,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,RESIDENCEAREATYPE,2005,RESIDENCEAREATYPE_TOTL,,,,,,,100,99.69903,,,,2023-07-10T07:50:39+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
207576,WSH_WATER_BASIC,COUNTRY,TUV,YEAR,WPR,Western Pacific,RESIDENCEAREATYPE,2011,RESIDENCEAREATYPE_URB,,,,,,,99,98.78435,,,,2023-07-10T07:54:30+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
207742,WSH_WATER_BASIC,COUNTRY,GMB,YEAR,AFR,Africa,RESIDENCEAREATYPE,2006,RESIDENCEAREATYPE_TOTL,,,,,,,76,75.99015,,,,2023-07-10T07:51:41+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
220419,WSH_WATER_BASIC,COUNTRY,MWI,YEAR,AFR,Africa,RESIDENCEAREATYPE,2014,RESIDENCEAREATYPE_TOTL,,,,,,,65,65.40196,,,,2023-07-10T07:53:36+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
226425,WSH_WATER_BASIC,COUNTRY,ZMB,YEAR,AFR,Africa,RESIDENCEAREATYPE,2002,RESIDENCEAREATYPE_TOTL,,,,,,,49,49.10737,,,,2023-07-10T07:54:45+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
232726,WSH_WATER_BASIC,COUNTRY,RWA,YEAR,AFR,Africa,RESIDENCEAREATYPE,2002,RESIDENCEAREATYPE_TOTL,,,,,,,47,46.72692,,,,2023-07-10T07:54:02+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
239184,WSH_WATER_BASIC,COUNTRY,TKM,YEAR,EUR,Europe,RESIDENCEAREATYPE,2019,RESIDENCEAREATYPE_TOTL,,,,,,,100,99.79292,,,,2023-07-10T07:54:25+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
245594,WSH_WATER_BASIC,COUNTRY,PLW,YEAR,WPR,Western Pacific,RESIDENCEAREATYPE,2006,RESIDENCEAREATYPE_RUR,,,,,,,99,98.86067,,,,2023-07-10T07:53:52+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
245693,WSH_WATER_BASIC,COUNTRY,TGO,YEAR,AFR,Africa,RESIDENCEAREATYPE,2020,RESIDENCEAREATYPE_URB,,,,,,,87,86.5968,,,,2023-07-10T07:54:22+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
245798,WSH_WATER_BASIC,COUNTRY,ARM,YEAR,EUR,Europe,RESIDENCEAREATYPE,2016,RESIDENCEAREATYPE_URB,,,,,,,100,99.82262,,,,2023-07-10T07:50:42+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
251603,WSH_WATER_BASIC,COUNTRY,COK,YEAR,WPR,Western Pacific,RESIDENCEAREATYPE,2001,RESIDENCEAREATYPE_TOTL,,,,,,,100,99.86995,,,,2023-07-10T07:51:13+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
251989,WSH_WATER_BASIC,REGION,EUR,YEAR,,,RESIDENCEAREATYPE,2008,RESIDENCEAREATYPE_RUR,,,,,,,94,93.69328,,,,2023-07-10T08:09:07+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
264046,WSH_WATER_BASIC,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,RESIDENCEAREATYPE,2003,RESIDENCEAREATYPE_URB,,,,,,,58,58.47344,,,,2023-07-10T07:50:34+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
264658,WSH_WATER_BASIC,COUNTRY,LCA,YEAR,AMR,Americas,RESIDENCEAREATYPE,2018,RESIDENCEAREATYPE_TOTL,,,,,,,97,96.8872,,,,2023-07-10T07:53:13+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
270424,WSH_WATER_BASIC,COUNTRY,AUS,YEAR,WPR,Western Pacific,RESIDENCEAREATYPE,2005,RESIDENCEAREATYPE_URB,,,,,,,100,99.865,,,,2023-07-10T07:50:43+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
271073,WSH_WATER_BASIC,COUNTRY,IRL,YEAR,EUR,Europe,RESIDENCEAREATYPE,2006,RESIDENCEAREATYPE_TOTL,,,,,,,97,96.8196,,,,2023-07-10T07:51:55+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
277100,WSH_WATER_BASIC,COUNTRY,USA,YEAR,AMR,Americas,RESIDENCEAREATYPE,2007,RESIDENCEAREATYPE_TOTL,,,,,,,99,98.91061,,,,2023-07-10T07:54:35+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
277106,WSH_WATER_BASIC,COUNTRY,CIV,YEAR,AFR,Africa,RESIDENCEAREATYPE,2019,RESIDENCEAREATYPE_TOTL,,,,,,,73,72.54106,,,,2023-07-10T07:51:10+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
