SpatialDim,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,0.10772021343446747,0.09078256482928732,0.10103111813098703,0.11182821689805617,0.1234425129297928,0.13591702797487037,0.14903137770250913,0.16669841952785408,0.184556076047392,0.20389357152774013,0.2247831998333617,0.2473414868875431,0.2758185962345828,0.31989138909899417,0.36436486501156273,0.4092280786035114,0.45445514420554867,0.5000807905914123,0.5460835681499094,0.5924351784165713,0.6391034633307162,0.6860736872535242,0.725282248487788
AGO,0.27622534823291844,0.2760837810068102,0.276183527087959,0.27464412848505326,0.2731615727330933,0.27169739058729864,0.2679246689128156,0.2639767396501584,0.25888237779818213,0.2536466709945675,0.24826207653998367,0.2427266713661662,0.24137179438783807,0.25524460311209585,0.2690766419918261,0.2828054426510552,0.29643798048479275,0.3099656835321586,0.3233627282067174,0.32966947203395924,0.3359314825357489,0.3421655698448991,0.34836305663865175
ALB,0.8327183380739986,0.8358246844973847,0.8395938471151306,0.8433831574314254,0.8471883768990365,0.8510006903840108,0.8548189258849805,0.8586211281133891,0.8622223662451634,0.8658174567158099,0.8694083205514211,0.8729877262409663,0.8772582244217156,0.8838410701679768,0.8901858156927706,0.8962951101230986,0.902176158790811,0.9078346558820863,0.9132757968422633,0.9185071221421492,0.9235352193558548,0.9239646667254111,0.9243961054463364
AND,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0,0.9999999999999999
ARE,0.9952756902863706,0.9951595853773869,0.9953316348085685,0.9955145795720155,0.9957090883747977,0.995915374961847,0.9961341821657916,0.9963656056967884,0.9966062826375313,0.9968619757785557,0.997133821886421,0.9974224097886076,0.9977415584052519,0.9981147268852651,0.9984894913372696,0.9988657218797149,0.9992431133417408,0.999621206201967,1.0000000000000002,1.0,0.9999999999999998,1.0,0.9999999999999999
ARG,0.9543030607112597,0.9564088137643232,0.9585250522602521,0.960658310152664,0.9628172863275772,0.9650015885482299,0.9672152107215635,0.9694544547284112,0.971687147259326,0.9739605119000994,0.9762775284515897,0.9786251869912267,0.9811302695456913,0.9820947135737456,0.9830596791730574,0.9840229273324134,0.9849839764650856,0.9850196741498237,0.9850571080875365,0.9850963761354212,0.9851374640773856,0.9851804615772282,0.9852253495229829
ARM,0.9425977370240426,0.9446890706494184,0.9470669768513259,0.9496343242873966,0.9523408491009462,0.9551930326993934,0.9582001866973369,0.9613643348751506,0.964650597853534,0.9681274664521069,0.9718064723816016,0.9757007954252,0.9799382659989003,0.9846914372752184,0.9893784542403662,0.9925359004912325,0.9926277171831599,0.9927243149989217,0.9986723906990347,0.9988832737321045,0.9990933299596771,0.9993026408747365,0.9995114315010779
ATG,0.9799128602997871,0.9795226053167212,0.9791196756892327,0.9787040310897366,0.9782749157365616,0.977831711059838,0.9773735793209499,0.9768969293639571,0.9763696931303516,0.975822959840217,0.9752493703724745,0.9746540323024676,0.9741873661523114,0.9742343905723417,0.9742843805915448,0.9743372126430013,0.9743933589461358,0.9744529836262318,0.9745155753651706,0.9745816124327096,0.9746509134297554,0.974723784877618,0.9748000375442544
AUS,0.9964620248728135,0.9963800001905527,0.9963209140587462,0.9965367193277241,0.9967592724363126,0.9969891548502701,0.9972264128388149,0.997471793346439,0.9977223800607569,0.9979821383797487,0.9982296956958094,0.9983243104492517,0.9984327214529206,0.9985747341558392,0.9993939715270453,0.9995290194656256,0.9995296087262517,0.9995302581861029,0.9995306526235523,0.9995312641378664,0.9995320912821999,0.9995326719938658,0.9995334710264238
AUT,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0,0.9999999999999999
